Created-At,From-User,From-User-Id,Id,Language,Retweet-Count,Source,Text,_id
1631481840000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437165121709748225,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e7168ce63935b7d65267d
1631481809000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437164988251185165,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@klaudita37 @El_Fachocola @sebastiansichel A ver: todos los partidos políticos son matones. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e7168ce63935b7d65267e
1631480309000,Alex Alba...,64407636,1437158696853856259,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A dos candidatos a la presidencia que se enfrentarán en 2024 si no hacen candidato a la cdmx a Monreal https://t.co/8FANcvbW8H,613e7168ce63935b7d65267f
1631479233000,⚓️♐️🚢Conde Pilu,179357793,1437154186664239112,es,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@suegrana La tibieza no sacó JAMÁS a un gobierno escribiendo por Tchuirer , agitando banderitas nu sacándose selfies con candidatos.
Así nos va",613e7168ce63935b7d652680
1630785102000,Ramón González,1231361026693705728,1434242789202616328,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@antipopulista Y quién los presentaron cómo excelentísimas personas precidenciales,duhalde, peronista también ex presidente ,y del partido peronista, justicialista, cómo usd quieran llamarlo,todo un corrupto, asesino, ladrón !!!!",613e7185ce63935b7d652682
1631481844000,Emy,1150640572752900096,1437165137790750731,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/XOMitGJ1gE.. Mentira.. Queremos el 10xciento porq son nuestros ahorros ahora.. A uds q les importa si tienen en sus bolsillos con suculento sueldo.. Y los Cesantes q???,613e718ece63935b7d652684
1631481244000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437162619484446726,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lauravelascook 👇 https://t.co/xfeCWDPR4Y",613e718ece63935b7d652685
1631481120000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437162098107236353,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@jmvaldesre 👇 https://t.co/9Og7fuMBlL",613e718ece63935b7d652686
1631480929000,Paloma Marquez,1275919055237664769,1437161299511844868,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@mariseka @jjcc_chile @carmen_hertz @PCdeChile @Diputados_PC @KarolCariola @PC_SanBernardo @MemorialdePaine @gteillier @WladimirBolton @EquipoMarisela 🌹🌹🌹,613e718ece63935b7d652687
1631479406000,Chapis-Recargada,465165042,1437154910269853701,es,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","En el gobierno de @lopezobrador_ y su compinche @HLGatell te tienes q amparar para vacunar a Menores d 18 mientras q a Nicaragua le mandan 400,000 Vacunas 
Esta es la 4T
#SerCandilesDeCalle?
Los obligaremos a punta d amparos? 
@senadomexicano 
@Mx_Diputados 
Están de adorno ? https://t.co/yu9zFBS8wU",613e718ece63935b7d652688
1631478972000,Nico Alegria,613186204,1437153089291792385,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Y cuando hacen lo mismo con la bancada de la inflación?
Un diputado RN que apoye a Kast a lo más será un voto menos, sus diputados ""discolos"" nos joderan el bolsillo a todos los chilenos https://t.co/san81Xqg3o",613e718ece63935b7d652689
1631478897000,Mary Coty Benedetto,309452935,1437152776132386820,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Rosario votamos #BoletaUnicaDePapel excelente. Excepto, como hoy, las de senadores y diputados nacionales, en las forma obsoleta y corrupta https://t.co/QaYuw5mpP2",613e718ece63935b7d65268a
1631478762000,Maria Cristina Salvador,940639639895007235,1437152210610180096,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@soluterionte Es muy grave lo que sucede. Si se emitieron alertas rojas, porque no se hacen efectivas?
Y con respecto al Parlasur escuché a uno de nuestros diputados que lo defienden los del Pro y diputados de otros países. Con Milagro Salas no hicieron lo mismo y sigue presa",613e718ece63935b7d65268b
1631478084000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437149364888260616,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@mbarroetavena 👇 https://t.co/dksy7PBcbw",613e718ece63935b7d65268c
1631478059000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437149262031245317,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lauravelascook 👇 https://t.co/34VJP71n2J",613e718ece63935b7d65268d
1631478032000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437149147279372296,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@ClaudioMorresi 👇 https://t.co/ohoiWWmQ1a",613e718ece63935b7d65268e
1631478021000,ManuelMurga🖤Socialismo o Libertad Soy Provida 💙,4394766320,1437149103641841673,es,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Asi en el congresos de diputados ya!! https://t.co/ojKfFEeS7Y,613e718ece63935b7d65268f
1631478002000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437149021483814920,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@Maru_Bielli 👇 https://t.co/z5UVTpYDDj",613e718ece63935b7d652690
1631477975000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148909432938499,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lucampora 👇 https://t.co/d9DNmM4Ii1",613e718ece63935b7d652691
1631477957000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148833067241477,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@NeiraClaudia 👇 https://t.co/8UJisiD12D",613e718ece63935b7d652692
1631477913000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148650065604613,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lpokoik 👇 https://t.co/5FHoY00kBI",613e718ece63935b7d652693
1631477896000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148579081109506,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@sroberto_ok 👇 https://t.co/5jhdrj0ODB",613e718ece63935b7d652694
1631477877000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148496197570563,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@MontenegroViki 👇 https://t.co/B1qppt733i",613e718ece63935b7d652695
1631477859000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148424114159621,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@SantoroLeandro 👇 https://t.co/kkUTxhudjP",613e718ece63935b7d652696
1631477801000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437148180592971783,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lpokoik 👇 https://t.co/88fIlDceBH",613e718ece63935b7d652697
1631477208000,Hugo Matteri 🌴☀🌴,197133329,1437145693345492993,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@die_quema Acá votamos senadores y diputados nacionales, y concejales.
Todos de JxC, pero de listas distintas en la interna.
Hay que votar por los amigos",613e718ece63935b7d652698
